RESTAURANTE;SABOR DO FRANGO;AV URUGUAI 1026;96200-970;CENTRO;RIO GRANDE;RS
RESTAURANTE;SABOR DO RESTAURATE;RUA VISCONDE DE PARANAGUA 15;96200-190;CENTRO;RIO GRANDE;RS
RESTAURANTE;SAPORE DI MILANO S;RUA MAL  FLORIANO PEIXOTO 522;96207-390;CENTRO;RIO GRANDE;RS
RESTAURANTE;SERGIO LANCHES;RUA MARECHAL FLORIANO PEIXOTO 379 219;96200-970;CENTRO;RIO GRANDE;RS
RESTAURANTE;SHOPPING GRELHADOS;RUA AQUIDABAN 714;96200-480;CENTRO;RIO GRANDE;RS
RESTAURANTE;SILVIA SOUZA DE CARVALHO;RUA GENERAL OSORIO 64;96200-400;CENTRO;RIO GRANDE;RS
RESTAURANTE;SIM - REDE DE POSTOS;RUA APELLES PORTO ALEGRE 53;96200-060;CENTRO;RIO GRANDE;RS
RESTAURANTE;SUARAIA SAAD MOHSEN;RUA MARECHAL FLORIANO PEIXOTO 485;96200-380;CENTRO;RIO GRANDE;RS
RESTAURANTE;SUPERMERCADO GUANABARA;RUA GENERAL OSORIO 595;96200-400;CENTRO;RIO GRANDE;RS
RESTAURANTE;TA NA MESA RESTAURANTE;RUA GENERAL CAMARA 443;96200-320;CENTRO;RIO GRANDE;RS
RESTAURANTE;TANIA MARIA WOLLNGHAUPT AIRES;AVENIDA SILVA PAES 440;96200-340;CENTRO;RIO GRANDE;RS
RESTAURANTE;TEMPERO DA CASA;RUA EWBANK 35;96200-080;CENTRO;RIO GRANDE;RS
RESTAURANTE;TIROLESA GRILL;RUA VISCONDE DE PARANAGUA 15 D;96200-190;CENTRO;RIO GRANDE;RS
RESTAURANTE;TUTTI FRATELLI;RUA GOMES FREIRE 653;96200-470;CENTRO;RIO GRANDE;RS
RESTAURANTE;VILLA FRANCISCA;RUA GENERAL BACELAR 309;96200-370;CENTRO;RIO GRANDE;RS
RESTAURANTE;BRUNA VOTTO MACHADO ME;RUA BUARQUE DE MACEDO 342;96211-114;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;BUFFET SECULO XXI;RUA DOM BOSCO 148;96211-090;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;DELICIA LANCHES;RUA DOMINGOS DE ALMEIDA 650;96211-580;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;DITIMANN ALIMENTOS;RUA BUARQUE DE MACEDO 40;96211-110;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;DOG SETE LANCHES;AVENIDA MAJOR CARLOS PINTO 333;96211-021;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;DOM GUILHERME;RUA CRISTOVAO COLOMBO 513;96211-510;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;FABRICA;RUA DOM BOSCO 37;96211-090;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;FREE COM;RUA MARECHAL DEODORO 200;96211-480;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;LAUS PIZZA;RUA MARECHAL DEODORO 501;96211-480;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;MIOLO LANCHES;RUA BUARQUE DE MACEDO 386;96211-110;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;MR GUFF;RUA BENTO GONCALVES 100;96211-070;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;NATHAN DA C COSTA;RUA VISCONDE DO RIO GRANDE 510;96211-490;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PADARIA NOSSA SENHORA DE FATIMA;RUA DOMINGOS DE ALMEIDA 400;96211-580;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PANDORATO;RUA DOMINGOS DE ALMEIDA 658;96211-580;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PANIFICIO JULNIOR;RUA GENERAL ABREU 303;96211-102;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PEIXARIA BIG MAR;RUA SALDANHA MARINHO 250;96211-630;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PONTO KENTE;AVENIDA CIDADE DE PELOTAS 44;96211-000;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;PONTO KENTE;RUA MARECHAL DEODORO 349;96211-480;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE COMA BEM;RUA BUARQUE DE MACEDO 230;96211-110;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE ESTANCIA DO CHEFF;RUA GENERAL ABREU 31;96211-100;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE MALU;RUA CRISTOVAO COLOMBO 456;96211-510;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;SKINA FRANGOS;RUA DOMINGOS DE ALMEIDA 700;96211-580;CIDADE NOVA;RIO GRANDE;RS
RESTAURANTE;ANA REGINA PRESTES E ALVES RESTAURANTES;RUA CAPITAO MARTINIANO FCO DE OLIVEIRA 424;96211-410;COHAB II;RIO GRANDE;RS
RESTAURANTE;COMERCIAL BUFFON;BR 392 KM 10 N01;96204-000;DISTRITO INDL;RIO GRANDE;RS
RESTAURANTE;VALQUIRIA PIMENTEL DA SILVA;AVENIDA ALMIRANTE MAXIMIANO FONSECA 1004;96204-040;ESTRADA DA BARRA;RIO GRANDE;RS
RESTAURANTE;REPRESENTACOES KONRAD;RUA REPUBLICA DO SALVADOR 536;96212-030;FREDERICO ERNESTO BUCHHOLZ;RIO GRANDE;RS
RESTAURANTE;GIGA LANCHES;RUA DOUTOR MARCIANO ESPINDOLA 259;96201-180;GETULIO VARGAS;RIO GRANDE;RS
RESTAURANTE;LANCHERIA GARIBALDI;RUA ENG HEITOR AMARO BARCELOS 0;96201-310;GETULIO VARGAS;RIO GRANDE;RS
RESTAURANTE;DANY LANCHES;AVENIDA PRIMEIRO DE MAIO 1138;96202-000;HIDRAULICA;RIO GRANDE;RS
RESTAURANTE;MISTER X;AV PRESIDENTE VARGAS 932;96200-970;HIDRAULICA;RIO GRANDE;RS
RESTAURANTE;PANIFICADORA E CHURRASCARIA NOVA RIO GRANDE;JOSE BONIFACIO 242;96200-970;JUNCAO;RIO GRANDE;RS
RESTAURANTE;POSTO DO TIGRE;AVENIDA ITALIA 1200;96203-000;JUNCAO;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE SABORES DO SUL;AVENIDA ITALIA 1199;96203-000;JUNCAO;RIO GRANDE;RS
RESTAURANTE;CAVIAR E GOIABADA BAR E RESTAURANTE;RUA COMENDADOR HENRIQUE PANCADA 1051;96211-330;LAGOA;RIO GRANDE;RS
RESTAURANTE;VANESSA CRIZEL DE ARAUJO;RUA COMENDADOR HENRIQUE PANCADA 1051;96211-330;LAGOA;RIO GRANDE;RS
RESTAURANTE;ARMAZEM MENDES;RUA ERNESTO ALVES 363;96211-650;MIGUEL DE CASTRO MOREIRA;RIO GRANDE;RS
RESTAURANTE;HELEM CARDOSO DA ROSA ME;RUA DOM BOSCO 699;96211-644;MIGUEL DE CASTRO MOREIRA;RIO GRANDE;RS
RESTAURANTE;JACK CONGELADOS;AV PRES VARGAS 830;96202-188;PARQUE;RIO GRANDE;RS
RESTAURANTE;PADARIA DO PARQUE;AVENIDA PRESIDENTE VARGAS 361;96202-100;PARQUE;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE PASSIONE;RUA DOMINGOS DE ALMEIDA 724;96211-580;PARQUE;RIO GRANDE;RS
RESTAURANTE;BRUNA VOTTO MACHADO ME;AV GRANDES LAGOS, DOS 342;96215-010;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;MERCEARIA BOM PRECO;AVENIDA GRANDES LAGOS, DOS 101;96215-010;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;MINI MERCADO E ACOUGUE IRMAOS MARIO;AVENIDA GRANDES LAGOS 151;96215-010;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;PEDRO PEDRON;RODOVIA BR-392 SN;96215-840;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;SERGIO ROBERTO OVIEDO ESTEVAM ME;RUA MAR MEDITERRANEO 409;96215-390;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;TAMARAGIBA ALBERTO G PEREIRA ME;RUA VELEIROS 12;96215-050;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;VINICIUS VALENTE DE LLANO;RUA ILHA DE PASCOA 280;96215-070;PARQUE MARINHA;RIO GRANDE;RS
RESTAURANTE;SUBWAY;AV PRES VARGAS 501;96202-336;PARQUE RESIDENCIAL COEL;RIO GRANDE;RS
RESTAURANTE;CANTINA;AV RHEINGANTZ 91;96202-110;PARQUE RESIDENCIAL COELHO;RIO GRANDE;RS
RESTAURANTE;CHURRASCARIA RIOS;RUA VAL PORTO  393;96202-700;PARQUE RESIDENCIAL COELHO;RIO GRANDE;RS
RESTAURANTE;MERCEARIA E PADARIA DA JUJU;AVENIDA OSVALDO ARANHA 120;96202-020;PARQUE RESIDENCIAL COELHO;RIO GRANDE;RS
RESTAURANTE;MIL LANCHES;RUA GENERAL BERTOLDO KLINGER 92;96202-410;PARQUE RESIDENCIAL COELHO;RIO GRANDE;RS
RESTAURANTE;RESTAURANTE E CHURRASCARIA BR 392;RUA VAL PORTO 393;96202-700;PARQUE RESIDENCIAL SALGADO FIL;RIO GRANDE;RS
RESTAURANTE;BELLA GULA;AV ENGENHEIRA LUCIA MARIA BALBELA CHIESA 2842;96216-400;PARQUE RESIDENCIAL SAO PEDRO;RIO GRANDE;RS
RESTAURANTE;CAMARAO EXPRESS RG;AV ENGENHEIRA LUCIA MARIA BALBELA CHIESA 2842;96216-400;PARQUE RESIDENCIAL SAO PEDRO;RIO GRANDE;RS
RESTAURANTE;D FEIRA MIXFOOD;AV ENGENHEIRA LUCIA MARIA BALBELA CHIESA 2842;96216-400;PARQUE RESIDENCIAL SAO PEDRO;RIO GRANDE;RS
RESTAURANTE;MAKTUB COMERCIO DE ALIMENTOS LTDA;AV ENGENHEIRA LUCIA MARIA BALBELA CHIESA 2842;96216-400;PARQUE RESIDENCIAL SAO PEDRO;RIO GRANDE;RS
